City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
port elizabeth,ZA,-33.92,25.57,64.4,77,6,8.05
palana,RU,59.12,159.97,5.92,93,99,2.26
punta arenas,CL,-53.15,-70.92,51.8,62,75,29.97
aklavik,CA,68.22,-135.01,10.4,72,90,6.93
glace bay,CA,46.2,-59.96,55,57,75,14.99
ushtobe,KZ,45.25,77.98,59.77,38,0,9.64
tuktoyaktuk,CA,69.45,-133.04,8.6,84,90,8.05
rikitea,PF,-23.12,-134.97,75.94,76,10,4.94
malanville,BJ,11.87,3.39,99.86,23,50,1.12
bredasdorp,ZA,-34.53,20.04,62.6,67,91,17.22
pacific grove,US,36.62,-121.92,59,72,75,6.93
magadan,RU,59.57,150.8,6.13,84,0,8.14
bluff,NZ,-46.6,168.33,39.99,95,46,1.01
ushuaia,AR,-54.8,-68.3,46.4,70,75,33.33
broken hill,AU,-31.95,141.43,60.8,59,100,5.82
charters towers,AU,-20.1,146.27,68.13,66,20,4.43
ribeira grande,PT,38.52,-28.7,62.6,67,75,13.87
dikson,RU,73.51,80.55,31.71,97,100,22.28
znamenskoye,RU,57.13,73.83,50.43,53,100,11.68
half moon bay,US,37.46,-122.43,62.01,71,90,4.7
mataura,NZ,-46.19,168.86,39.99,95,51,1.01
san quintin,MX,30.48,-115.95,64.49,62,88,20.04
yellowknife,CA,62.46,-114.35,14,56,20,10.29
busselton,AU,-33.65,115.33,63,64,19,10.83
cidreira,BR,-30.18,-50.21,74.8,62,0,6.46
hilo,US,19.73,-155.09,73,64,1,6.93
hofn,IS,64.25,-15.21,48.2,81,90,2.24
sinjai,ID,-5.12,120.25,79.54,75,6,2.33
talnakh,RU,69.49,88.4,32,92,90,17.9
kodiak,US,57.79,-152.41,42.8,87,90,4.7
olga,RU,43.74,135.29,38.5,92,100,6.85
elban,RU,50.1,136.51,31.35,90,100,18.1
kapaa,US,22.08,-159.32,68,88,5,4.7
ossora,RU,59.24,163.07,8.91,86,26,9.26
longyearbyen,SJ,78.22,15.64,23,62,20,27.51
albany,US,42.6,-73.97,50,33,75,12.75
hambantota,LK,6.12,81.12,82.83,81,51,12.71
cayenne,GF,4.93,-52.33,73.4,100,100,4.7
mabopane,ZA,-25.5,28.1,66,77,0,1.12
adrasmon,TJ,40.65,69.99,64.4,55,0,6.71
mar del plata,AR,-38,-57.56,78.8,54,63,5.82
tuatapere,NZ,-46.13,167.68,39.99,95,60,1.01
kupang,ID,-10.17,123.58,80.89,77,0,11.5
roald,NO,62.58,6.13,50,71,0,12.75
